Project Name,Drainage Area  (Acres),Watershed,Project Type,Groundwater Basic,LA City Water Supply,Green Street / Alley
Sun Valley Park Multiuse Stormwater Infiltration,45,LA River,Regional,San Fernando,Yes,No
Broadway Neighborhood Stormwater Greenway,290,LA River,Regional/Distributed/LID,Central,Yes,Yes
Avalon North Green Alley,3,LA River,Distributed,Central,Yes,Yes
Elmer Paseo Green Alley,20,LA River,Distributed,San Fernando Valley,Yes,Yes
"Small-scale Residential Private LID (3,586)3",235,Citywide,LID,Various,?,
Tuxford Green Multiuse Project,992,LA River,Regional,San Fernando,No,No
Los Angeles Zoo Parking Lot Stormwater Infiltration,33,LA River,LID,Central,Yes,No
Avalon South Green Alley,5,LA River,Distributed,Central,Yes,Yes
Ramona Gardens Rain Gardens,7,Dominguez Channel,Distributed,Central,No,
Rainwater Harvesting Downspout Disconnection2,6,Ballona Creek,Distributed/LID,Santa Monica,No,No
Woodman Ave Median Green Street,110,LA River,Distributed,San Fernando,Yes,Yes
Glenoaks and Sunland Stormwater Infiltration,302,LA River,Distributed,San Fernando,Yes,No
"Other Land Development LID (1,578)3","2,124",Citywide,LID,Various,?,
Grand Blvd. Tree Wells Greenway,16,Santa Monica Bay,Distributed,Santa Monica,No,
Riverdale Avenue Green Street Project,14,LA River,Distributed,Central,Yes,Yes
Rosecrans Recreational Center,13,Dominguez Channel,Regional,West Coast,No,
South Los Angeles Wetlands Park,500,LA River,Regional,Central,No,No
Manchester Greenway,3,LA River,Distributed,Central,No,
Mar Vista Recreation Center Stormwater Capture,244,Ballona Creek,Regional,Santa Monica,No,
Westside Park Rainwater Capture Use Irrigation,298,Ballona Creek,Distributed,Central,No,
Hansen Dam Recreational Area,74,LA River,Regional,San Fernando Valley,No,No
Imperial Highway Median,17,Dominguez Channel,Distributed,West Coast,No,
Laurel Canyon Green Street,123,LA River,Distributed,San Fernando,Yes,Yes
Echo Park Lake Restoration,131,LA River,Regional,Central,Yes,No
Old Oak Rd Swales Green Street,51,Santa Monica Bay,Distributed,Santa Monica,No,Yes
Branford Street Dry Well Project (Sun Valley EDA),166,LA River,Distributed,San Fernando,Yes,Yes
Westminster Dog Park Stormwater BMP,3,Santa Monica Bay,LID,Santa Monica,No,No
North Atwater Creek Restoration,60,LA River,Regional,Central,No,
Elmer Avenue Green Street,45,LA River,Regional/Distributed/LID,San Fernando Valley,Yes,Yes
Ed P. Reyes River Greenway,135,LA River,Regional,Central,No,
North Hollywood Green Alley,14,LA River,Distributed,San Fernando,Yes,Yes
Oros Green Street,8,LA River,Regional/Distributed,Central,Yes,Yes
Peck Park Canyon Enhancement,100,Dominguez Channel,Regional,West Coast,No,
Garvanza Park Stormwater Infiltration and Use,78,LA River,Regional,Central,Yes,
HBT Stormwater Capture Projects,,LA River,Distributed,San Fernando ,Yes,Yes
Temescal Canyon Park Stormwater Capture Use,"1,590",Santa Monica Bay,Regional,Santa Monica,No,
Penmar Stormwater Capture Use and Water Quality Improvement ,"1,468",Santa Monica Bay,Regional,Santa Monica,Yes,
