OBJECTID,STUD_AR_ID,STUD_AR_NM,STUD_AR_LBL,TOOLKIT_ID,Acres,AC_PER_1K,RepPrkAc,NEED_DESCP,PCT_Walk,aggregationMethod,HasData,ORIGINAL_OID,sourceCountry,populationtotals_totpop_cy,householdtotals_avghhsz_cy,householdincome_medhinc_cy,educationalattainment_nohs_cy,educationalattainment_somehs_cy,educationalattainment_hsgrad_cy,educationalattainment_ged_cy,educationalattainment_smcoll_cy,educationalattainment_asscdeg_c,educationalattainment_bachdeg_c,educationalattainment_graddeg_c,educationalattainment_educbasec,sports_mp33003a_b_i,sports_mp33004a_b_i,sports_mp33005a_b_i,sports_mp33012a_b_i,sports_mp33014a_b_i,sports_mp33015a_b_i,sports_mp33016a_b_i,sports_mp33020a_b_i,sports_mp33024a_b_i,sports_mp33025a_b_i,sports_mp33026a_b_i,sports_mp33028a_b_i,sports_mp33029a_b_i,sports_mp33030a_b_i,F5yearincrements_pop0_cy,F5yearincrements_pop5_cy,F5yearincrements_pop10_cy,F5yearincrements_pop15_cy,F5yearincrements_pop20_cy,F5yearincrements_pop25_cy,F5yearincrements_pop30_cy,F5yearincrements_pop35_cy,F5yearincrements_pop40_cy,F5yearincrements_pop45_cy,F5yearincrements_pop50_cy,F5yearincrements_pop55_cy,F5yearincrements_pop60_cy,F5yearincrements_pop65_cy,F5yearincrements_pop70_cy,F5yearincrements_pop75_cy,F5yearincrements_pop80_cy,F5yearincrements_pop85_cy,F5yearincrements_pop18up_cy,F1yearincrements_age18_cy,F1yearincrements_age19_cy,MEAN_Asthma,MEAN_Low_Birth_Weight,MEAN_Cardiovascular,aggregationMethod_1,HasData_1,ORIGINAL_OID_1,sourceCountry_1,raceandhispanicorigin_hisppop_c,raceandhispanicorigin_nonhisp_c,raceandhispanicorigin_nhspwht_c,raceandhispanicorigin_nhspblk_c,raceandhispanicorigin_nhspai_cy,raceandhispanicorigin_nhspasn_c,raceandhispanicorigin_nhsppi_cy,raceandhispanicorigin_nhspoth_c,raceandhispanicorigin_nhspmlt_c,Age0_17Pct,Age18_34Pct,Age35_54Pct,Age55_69Pct,Age70upPct,HispanicPct,WhitePct,Black_Pct,Asian_Pct,Am_Indian,Pac_Island,Other_Race,Multi_Race,No_HS,HS_Grad,Some_College,College,unemprt_cy,SHAPE_Length,SHAPE_Area
1,129,City of LA Brentwood - Pacific Palisades,City of LA Brentwood - Pacific Palisades,129,24319.32346322,6.523099,378.979,Moderate,29.70495518,,,,,57812,2.24,164440,409,453,1607,143,4500,1795,16222,17497,42626,100,101,116,86,152,177,115,179,108,88,147,219,96,137,2446,2833,3508,3395,3004,3614,3628,3472,2996,3409,3877,4307,4032,3658,3343,2659,1670,1961,46950,687,632,11.66187663,2.1935377,4.66812088,BlockApportionment:US.BlockGroups,1,1,US,3351,54461,46347,660,54,4983,30,132,2254,18.78848682,20.00449734,23.79090846,20.75174704,16.6626306,5.79637446,80.16847713,1.1416315,8.61931779,0.09340621,0.05189234,0.2283263,3.89884453,2,4,15,79,12.6,167420.88760282,-1059345492.66315
2,147,City of LA Westlake,City of LA Westlake,147,1943.36493139,0.668962,76.649,Very High,81.37861138,,,,,117445,2.89,33363,21676,9006,14709,1125,9319,4137,12693,4004,76669,88,110,86,104,22,57,63,75,143,112,54,93,109,72,8358,7811,7147,7307,10152,12621,11329,9762,7944,7160,6064,5444,4645,3846,3003,1977,1385,1490,90103,1557,1724,49.9481828,5.91002084,6.07631772,BlockApportionment:US.BlockGroups,1,2,US,85178,32267,5608,4422,171,20513,115,285,1153,23.28068458,31.8302184,26.33573162,11.86512836,6.68823705,72.52586317,4.77500106,3.76516667,17.46604794,0.14560007,0.09791817,0.24266678,0.98173613,40,21,18,22,18.2,40570.3810979055,-84652637.7997787
3,136,City of LA Encino - Tarzana,City of LA Encino - Tarzana,136,12988.79854464,8.805535,627.412,Moderate,10.459357,,,,,73694,2.42,96514,1507,1687,6887,607,9915,3925,16544,13358,54430,98,97,112,88,121,141,106,135,120,91,125,146,80,124,3531,3929,4465,3814,3525,3725,3981,5164,4808,5002,5082,5282,4978,4519,4102,2992,2207,2588,59375,725,696,29.77232456,3.76307606,5.98795002,BlockApportionment:US.BlockGroups,1,3,US,9438,64256,52382,2473,88,5268,95,166,3784,19.43034711,17.1682905,27.2152414,20.0545499,16.13292805,12.80701278,71.0804136,3.35576845,7.14847884,0.11941271,0.12891144,0.22525579,5.13474638,6,14,25,55,14.2,111443.208133232,-565789801.43872
4,139,City of LA Sunland - Tujunga - Lake View Terrace - Shadow Hills,City of LA Sunland - Tujunga - Lake View Terrace - Shadow Hills,139,16428.80193837,8.599252,559.218,Low,42.8268028,,,,,63948,2.96,76261,3219,3073,10882,780,10615,4509,8790,4577,46445,116,103,108,82,80,107,81,112,152,101,93,95,80,105,3232,3390,3658,3541,3681,4478,4746,4555,3817,3971,4299,4678,4672,3960,2959,1917,1204,1192,51534,729,679,36.52757603,3.18490408,7.34176878,BlockApportionment:US.BlockGroups,1,4,US,22787,41160,30302,2232,145,6251,43,143,2044,19.41264778,22.38224808,26.02426972,20.8137862,11.37173954,35.63363983,47.38537562,3.4903359,9.77512979,0.22674673,0.06724213,0.22361919,3.19634703,14,25,33,29,15.2,196258.103867203,-715635749.883678
5,059,City of LA Central City North,City of LA Central City North,59,2022.34995721,1.554053,34.716,High,49.44870496,,,,,27580,2.33,50355,2965,3162,3286,760,3212,1076,4862,1954,21277,108,134,123,108,98,105,106,130,163,120,90,166,136,95,793,723,743,1281,2763,3439,3123,2619,2161,2076,1766,1400,1239,1074,847,602,416,517,24799,315,443,65.34411421,5.97337301,5.3789496,BlockApportionment:US.BlockGroups,1,5,US,7816,19764,3806,3523,37,11847,44,65,442,10.08339376,36.5591008,31.2617839,13.4626541,8.63669326,28.33937636,13.79985497,12.77374909,42.95503988,0.13415518,0.1595359,0.23567803,1.60261059,29,19,20,32,17.4,60051.8662870227,-88093211.7620401
6,138,City of LA Silver Lake - Echo Park - Elysian Valley,City of LA Silver Lake - Echo Park - Elysian Valley,138,4552.37148682,8.837859,634.451,Moderate,55.52375453,,,,,72021,2.5,74284,5401,3226,7190,588,8214,3350,17098,8861,53928,91,109,97,98,55,115,87,117,142,118,94,110,91,97,3380,3247,3253,3401,4811,6783,6655,6744,5851,5330,5068,4397,3716,3191,2334,1621,1077,1161,60109,670,699,42.39291806,3.80596684,6.2143184,BlockApportionment:US.BlockGroups,1,6,US,34568,37453,19083,1422,127,14823,59,183,1755,16.53962039,27.23927743,31.92541064,15.69542217,8.59888088,47.99711195,26.49643854,1.97442413,20.58149706,0.17633746,0.08192055,0.25409256,2.43678927,16,14,21,48,18,68554.9811589244,-198300508.76131
7,120,City of LA Sun Valley - La Tuna Canyon,City of LA Sun Valley - La Tuna Canyon,120,10504.56866782,1.199641,110.397,High,29.38255906,,,,,91375,3.85,60161,11153,6763,14627,989,10403,4208,9020,2895,60058,121,80,80,80,44,79,55,84,124,84,67,69,94,74,6215,6316,6272,5956,6557,7872,7778,6808,5766,5740,5410,5114,4605,3911,2910,1797,1156,1190,69130,1230,1285,63.39506795,4.92288871,8.4433045,BlockApportionment:US.BlockGroups,1,7,US,63251,28124,16666,1615,168,8084,84,211,1297,24.34473324,27.05554036,25.96333789,14.91655267,7.71874145,69.22134063,18.23912449,1.76744186,8.84705882,0.18385773,0.09192886,0.23091655,1.41942544,30,26,24,20,17.1,119815.314922069,-457577180.856192
8,094,City of LA North Hollywood - Valley Village,City of LA North Hollywood - Valley Village,94,6791.46884905,1.123886,158.387,Very High,39.17328067,,,,,141888,2.57,57290,8569,7680,17330,1511,20667,9015,26112,9096,99980,101,111,104,99,62,107,84,117,158,120,90,118,100,94,7876,7667,7625,7691,11048,13988,12723,11838,10105,9595,9193,8588,7348,5902,4366,2652,1750,1933,114304,1589,1687,48.62466327,5.32852318,8.73523216,BlockApportionment:US.BlockGroups,1,8,US,66907,74980,53103,6808,264,10293,155,537,3821,19.44068561,28.92069802,28.70644452,15.39101263,7.54186401,47.15479815,37.42599797,4.79815065,7.25431326,0.18606225,0.10924109,0.37846752,2.6929691,16,19,30,35,18.8,79857.5450631096,-295835199.720383
9,096,City of LA Sylmar,City of LA Sylmar,96,7888.76017572,4.221127,342.861,Moderate,35.08985482,,,,,84322,3.93,74259,9419,5781,13292,1691,9946,3898,7004,2599,53630,124,88,82,79,52,87,53,94,121,74,75,59,92,77,6020,6224,6285,6270,5893,6813,6980,6274,5318,5328,5100,4617,4112,3269,2299,1564,1006,949,61870,1197,1151,62.80624317,5.1933432,7.88620028,BlockApportionment:US.BlockGroups,1,9,US,66927,17395,9250,2379,226,4481,38,145,877,26.62650317,26.13078437,26.11418135,14.22878964,6.89974147,79.37074548,10.96985366,2.82132777,5.31415289,0.26802021,0.04506534,0.17195987,1.04006072,28,28,26,18,14.9,112509.611563987,-343633018.718054
10,117,City of LA Arleta - Pacoima,City of LA Arleta - Pacoima,117,6619.44212776,4.540436,481.129,High,37.23389871,,,,,106759,4.71,59845,17445,9067,17404,1536,9031,3155,5505,1287,64430,128,61,71,76,32,64,48,68,116,80,55,62,94,58,8776,8718,8397,7998,8439,9814,9195,7828,6615,6157,5998,5197,4506,3408,2341,1502,987,880,76092,1609,1615,63.52115588,4.90922616,6.85310288,BlockApportionment:US.BlockGroups,1,10,US,96156,10603,3280,2981,141,3439,73,148,541,28.72544703,28.73013048,24.91405877,12.28093182,5.34849521,90.06828464,3.07234051,2.79227044,3.22127408,0.13207317,0.06837831,0.13863,0.50674885,41,29,19,11,17.6,83955.5702628773,-288341745.714597
